"name","description",lat,lon
"Altim","27 rue froidevaux  75014 paris 75014
01 40 64 70 00",48.835614,2.328418
"Altimo","16 avenue hoche  75008 paris 75008
01 45 61 54 24",48.876739,2.301511
"Alvarez international real estate","101 avenue des champs elysees  75008 paris 8ème 75008
01 82 83 38 03",48.871656,2.300554
"Alvic immo","58 rue beaubourg  75003 paris 3ème 75003
01 40 29 41 88 / 06 22 33 73 93",48.863054,2.354618
"Am capital","8 rue vital  75116 paris 16ème 75116
06 22 98 56 79",48.860263,2.27964
"Ambassade service immobilier","3 rue des pyramides  75001 paris 75001
01 42 60 20 00",48.864301,2.33241
"Ambroise immobilier","15 avenue parmentier 75011 paris 75011
01 55 25 20 50",48.860096,2.378565
"Amcp immobilier","117 rue de charenton  75012 paris 12ème 75012
06 07 51 06 46",48.846009,2.379763
"Ami","93 rue de monceau  75008 paris 8ème 75008
06 60 48 62 34",48.880524,2.316374
"Ammonitia","47 av george v  75008 paris 8eme 75008
01 56 62 08 22",48.870758,2.300657
"Andrieux immobilier","112 rue du cherche midi  75006 paris 6eme 75006
01 45 48 03 98",48.846483,2.320518
"Anne carole immobilier","81 rue de reuilly  75012 paris 75012
01 43 43 00 60",48.844868,2.389639
"Anne carole immobilier","42 boulevard de charonne  75020 paris 75020
01 43 73 02 10",48.851115,2.398793
"Anne carole immobilier","avenue daumesnil  75012 paris 12eme 75012
01 40 02 07 02",48.840654,2.390404
"Anne carole immobilier","112 avenue ledru rollin  75011 paris 75011
01 43 14 02 03",48.852811,2.377175
"Apen immobilier","84 rue joseph de maistre 75018 paris 75018
01 53 31 10 20",48.892582,2.330548
"Api","18 rue serpente  75006 paris 75006
01 43 26 11 33",48.852163,2.342507
"Apollo","102 ave des champs elysees  75008 paris 75008
01 45 63 88 88",48.871826,2.30229
"Appart & immo","64 rue raymond losserand  75014 paris 14ème 75014
01 40 47 82 40",48.834236,2.3184
"Appart coaching","49 rue basfroi  75011 paris 75011
06 24 43 77 12",48.85636,2.378121
"Appart en vue","45 rue de courcelles 75008 paris 8ème 75008
01 43 59 20 45",48.876174,2.307917
"Appart unique","139 avenue de malakoff  75116 paris 16ème 75116
06 23 64 71 71",48.875263,2.283748
"Appartement parisien","112 avenue gambetta 75020 paris 20ème 75020
09 51 93 93 51",48.871666,2.404533
"Apparts de paris","85 bis avenue wagram 75017 paris 75017
07 63 31 27 27",48.880758,2.299885
"Arc-en-ciel immo","37 rue des blancs manteaux 75004 paris 75004
01 71 18 28 60",48.859612,2.355316
"Arcales immobilier","181 rue du faubourg saint antoine  75011 paris 75011
01 53 33 04 04",48.850526,2.381185
"Arch invest","231 rue saint honore  75001 paris 1er 75001
01 45 72 15 07",48.866223,2.329201
"Archives patrimoine","33 rue des archives  75004 paris 75004
01 42 71 90 50",48.859505,2.356156
"Archives patrimoine","96 rue rene boulanger  75010 paris 10ème 75010
01 43 54 83 65",48.869242,2.355987
"Area immobilier","60 av raymond poincare  75116 paris 16ème 75116
01 47 04 08 08",48.867662,2.28601
